data_quality_scan,data_source,data_quality_job_id,data_quality_job_configuration,job_labels,job_start_time,job_end_time,job_quality_result,job_dimension_result,job_rows_scanned,rule_name,rule_description,rule_type,rule_evaluation_type,rule_column,rule_dimension,rule_threshold_percent,rule_parameters,rule_passed,rule_rows_evaluated,rule_rows_passed,rule_rows_passed_percent,rule_rows_null,rule_failed_records_query,created_on,last_updated,rule_assertion_row_count,debug_queries
"{
  ""data_quality_scan"": {
    ""resource_name"": ""//dataplex.googleapis.com/projects/1082519457323/locations/us-central1/dataScans/dq-pigpos-fr-ms-trn-feed"",
    ""project_id"": ""cpf-farm-th"",
    ""location"": ""us-central1"",
    ""data_scan_id"": ""dq-pigpos-fr-ms-trn-feed"",
    ""display_name"": ""dq-pigpos-fr_ms_trn_feed""
  }
}","{
  ""data_source"": {
    ""resource_name"": ""//bigquery.googleapis.com/projects/cpf-farm-th/datasets/PIGPOS/tables/FR_MS_TRN_FEED"",
    ""dataplex_entity_project_id"": null,
    ""dataplex_entity_project_number"": null,
    ""dataplex_lake_id"": null,
    ""dataplex_zone_id"": null,
    ""dataplex_entity_id"": null,
    ""table_project_id"": ""cpf-farm-th"",
    ""table_project_number"": ""1082519457323"",
    ""dataset_id"": ""PIGPOS"",
    ""table_id"": ""FR_MS_TRN_FEED""
  }
}",a9333546-39b7-4b3f-a9d7-13c3b195e04e,"{""increment_column"":"""",""incremental"":false,""row_filter"":"""",""sampling_percent"":100,""trigger"":""on_demand""}","{""content"":""feed-transaction""}",2026-02-18 03:44:38.000000 UTC,2026-02-18 03:45:10.000000 UTC,"{
  ""job_quality_result"": {
    ""passed"": ""false"",
    ""score"": ""0.0"",
    ""incremental_start"": null,
    ""incremental_end"": null
  }
}","{""ACCURACY"":{""passed"":false,""score"":0}}",70418802,Positive-value,Positive value only,Row Condition check,Per row,QTY,ACCURACY,100.0,"{""sql_expression"":""qty >= 0""}",false,70418802,69780860,99.094074,0,WITH `a9333546-39b7-4b3f-a9d7-13c3b195e04e` AS (SELECT * FROM `cpf-farm-th.PIGPOS.FR_MS_TRN_FEED` ) SELECT * FROM `a9333546-39b7-4b3f-a9d7-13c3b195e04e` WHERE (NOT((qty >= 0) IS TRUE));,2026-02-18 03:43:58.000000 UTC,2026-02-18 03:43:58.000000 UTC,,"{
  ""debug_queries"": []
}"
"{
  ""data_quality_scan"": {
    ""resource_name"": ""//dataplex.googleapis.com/projects/1082519457323/locations/us-central1/dataScans/dq-pigpos-fr-ms-trn-feed"",
    ""project_id"": ""cpf-farm-th"",
    ""location"": ""us-central1"",
    ""data_scan_id"": ""dq-pigpos-fr-ms-trn-feed"",
    ""display_name"": ""dq-pigpos-fr_ms_trn_feed""
  }
}","{
  ""data_source"": {
    ""resource_name"": ""//bigquery.googleapis.com/projects/cpf-farm-th/datasets/PIGPOS/tables/FR_MS_TRN_FEED"",
    ""dataplex_entity_project_id"": null,
    ""dataplex_entity_project_number"": null,
    ""dataplex_lake_id"": null,
    ""dataplex_zone_id"": null,
    ""dataplex_entity_id"": null,
    ""table_project_id"": ""cpf-farm-th"",
    ""table_project_number"": ""1082519457323"",
    ""dataset_id"": ""PIGPOS"",
    ""table_id"": ""FR_MS_TRN_FEED""
  }
}",a9333546-39b7-4b3f-a9d7-13c3b195e04e,"{""increment_column"":"""",""incremental"":false,""row_filter"":"""",""sampling_percent"":100,""trigger"":""on_demand""}","{""content"":""feed-transaction""}",2026-02-18 03:44:38.000000 UTC,2026-02-18 03:45:10.000000 UTC,"{
  ""job_quality_result"": {
    ""passed"": ""false"",
    ""score"": ""0.0"",
    ""incremental_start"": null,
    ""incremental_end"": null
  }
}","{""ACCURACY"":{""passed"":false,""score"":0}}",70418802,Positive-value,Positive value only,Row Condition check,Per row,WGH,ACCURACY,100.0,"{""sql_expression"":""wgh >= 0""}",false,70418802,69391322,98.540901,0,WITH `a9333546-39b7-4b3f-a9d7-13c3b195e04e` AS (SELECT * FROM `cpf-farm-th.PIGPOS.FR_MS_TRN_FEED` ) SELECT * FROM `a9333546-39b7-4b3f-a9d7-13c3b195e04e` WHERE (NOT((wgh >= 0) IS TRUE));,2026-02-18 03:43:58.000000 UTC,2026-02-18 03:43:58.000000 UTC,,"{
  ""debug_queries"": []
}"
"{
  ""data_quality_scan"": {
    ""resource_name"": ""//dataplex.googleapis.com/projects/1082519457323/locations/us-central1/dataScans/dq-pigpos-fr-ms-trn-feed"",
    ""project_id"": ""cpf-farm-th"",
    ""location"": ""us-central1"",
    ""data_scan_id"": ""dq-pigpos-fr-ms-trn-feed"",
    ""display_name"": ""dq-pigpos-fr_ms_trn_feed""
  }
}","{
  ""data_source"": {
    ""resource_name"": ""//bigquery.googleapis.com/projects/cpf-farm-th/datasets/PIGPOS/tables/FR_MS_TRN_FEED"",
    ""dataplex_entity_project_id"": null,
    ""dataplex_entity_project_number"": null,
    ""dataplex_lake_id"": null,
    ""dataplex_zone_id"": null,
    ""dataplex_entity_id"": null,
    ""table_project_id"": ""cpf-farm-th"",
    ""table_project_number"": ""1082519457323"",
    ""dataset_id"": ""PIGPOS"",
    ""table_id"": ""FR_MS_TRN_FEED""
  }
}",a9333546-39b7-4b3f-a9d7-13c3b195e04e,"{""increment_column"":"""",""incremental"":false,""row_filter"":"""",""sampling_percent"":100,""trigger"":""on_demand""}","{""content"":""feed-transaction""}",2026-02-18 03:44:38.000000 UTC,2026-02-18 03:45:10.000000 UTC,"{
  ""job_quality_result"": {
    ""passed"": ""false"",
    ""score"": ""0.0"",
    ""incremental_start"": null,
    ""incremental_end"": null
  }
}","{""ACCURACY"":{""passed"":false,""score"":0}}",70418802,Positive-value,Positive value only,Row Condition check,Per row,VAL,ACCURACY,100.0,"{""sql_expression"":""val >= 0""}",false,70418802,18685146,26.534314,0,WITH `a9333546-39b7-4b3f-a9d7-13c3b195e04e` AS (SELECT * FROM `cpf-farm-th.PIGPOS.FR_MS_TRN_FEED` ) SELECT * FROM `a9333546-39b7-4b3f-a9d7-13c3b195e04e` WHERE (NOT((val >= 0) IS TRUE));,2026-02-18 03:43:58.000000 UTC,2026-02-18 03:43:58.000000 UTC,,"{
  ""debug_queries"": []
}"
"{
  ""data_quality_scan"": {
    ""resource_name"": ""//dataplex.googleapis.com/projects/1082519457323/locations/us-central1/dataScans/dq-pigpos-fr-ms-trn-feed"",
    ""project_id"": ""cpf-farm-th"",
    ""location"": ""us-central1"",
    ""data_scan_id"": ""dq-pigpos-fr-ms-trn-feed"",
    ""display_name"": ""dq-pigpos-fr_ms_trn_feed""
  }
}","{
  ""data_source"": {
    ""resource_name"": ""//bigquery.googleapis.com/projects/cpf-farm-th/datasets/PIGPOS/tables/FR_MS_TRN_FEED"",
    ""dataplex_entity_project_id"": null,
    ""dataplex_entity_project_number"": null,
    ""dataplex_lake_id"": null,
    ""dataplex_zone_id"": null,
    ""dataplex_entity_id"": null,
    ""table_project_id"": ""cpf-farm-th"",
    ""table_project_number"": ""1082519457323"",
    ""dataset_id"": ""PIGPOS"",
    ""table_id"": ""FR_MS_TRN_FEED""
  }
}",a9333546-39b7-4b3f-a9d7-13c3b195e04e,"{""increment_column"":"""",""incremental"":false,""row_filter"":"""",""sampling_percent"":100,""trigger"":""on_demand""}","{""content"":""feed-transaction""}",2026-02-18 03:44:38.000000 UTC,2026-02-18 03:45:10.000000 UTC,"{
  ""job_quality_result"": {
    ""passed"": ""false"",
    ""score"": ""0.0"",
    ""incremental_start"": null,
    ""incremental_end"": null
  }
}","{""ACCURACY"":{""passed"":false,""score"":0}}",70418802,Positive-value,Positive value only,Row Condition check,Per row,COST,ACCURACY,100.0,"{""sql_expression"":""cost >= 0""}",false,70418802,18685049,26.534176,0,WITH `a9333546-39b7-4b3f-a9d7-13c3b195e04e` AS (SELECT * FROM `cpf-farm-th.PIGPOS.FR_MS_TRN_FEED` ) SELECT * FROM `a9333546-39b7-4b3f-a9d7-13c3b195e04e` WHERE (NOT((cost >= 0) IS TRUE));,2026-02-18 03:43:58.000000 UTC,2026-02-18 03:43:58.000000 UTC,,"{
  ""debug_queries"": []
}"
"{
  ""data_quality_scan"": {
    ""resource_name"": ""//dataplex.googleapis.com/projects/1082519457323/locations/us-central1/dataScans/dq-pigpos-fr-trn-transfer-out-header"",
    ""project_id"": ""cpf-farm-th"",
    ""location"": ""us-central1"",
    ""data_scan_id"": ""dq-pigpos-fr-trn-transfer-out-header"",
    ""display_name"": ""dq-pigpos-fr_trn_transfer_out_header""
  }
}","{
  ""data_source"": {
    ""resource_name"": ""//bigquery.googleapis.com/projects/cpf-farm-th/datasets/PIGPOS/tables/FR_TRN_TRANSFER_OUT_HEADER"",
    ""dataplex_entity_project_id"": null,
    ""dataplex_entity_project_number"": null,
    ""dataplex_lake_id"": null,
    ""dataplex_zone_id"": null,
    ""dataplex_entity_id"": null,
    ""table_project_id"": ""cpf-farm-th"",
    ""table_project_number"": ""1082519457323"",
    ""dataset_id"": ""PIGPOS"",
    ""table_id"": ""FR_TRN_TRANSFER_OUT_HEADER""
  }
}",acf0c609-2417-4d91-b4c1-ac77f9719821,"{""increment_column"":"""",""incremental"":false,""row_filter"":""COALESCE(CANCEL_FLAG, 'N') = 'N'"",""sampling_percent"":100,""trigger"":""on_demand""}","{""content"":""transfer-transaction-header""}",2026-02-24 06:28:22.000000 UTC,2026-02-24 06:28:55.000000 UTC,"{
  ""job_quality_result"": {
    ""passed"": ""true"",
    ""score"": ""100.0"",
    ""incremental_start"": null,
    ""incremental_end"": null
  }
}","{""VALIDITY"":{""passed"":true,""score"":100}}",894681,,,Range check,Per row,FREIGHT_AMT,VALIDITY,100.0,"{""max_value"":"""",""min_value"":""0"",""strict_max_enabled"":false,""strict_min_enabled"":false}",true,894681,894681,100.0,0,"WITH `acf0c609-2417-4d91-b4c1-ac77f9719821` AS (SELECT * FROM `cpf-farm-th.PIGPOS.FR_TRN_TRANSFER_OUT_HEADER` WHERE (COALESCE(CANCEL_FLAG, 'N') = 'N')) SELECT * FROM `acf0c609-2417-4d91-b4c1-ac77f9719821` WHERE (NOT(`FREIGHT_AMT` >= 0));",2026-02-24 06:27:44.000000 UTC,2026-02-24 06:27:44.000000 UTC,,"{
  ""debug_queries"": []
}"
"{
  ""data_quality_scan"": {
    ""resource_name"": ""//dataplex.googleapis.com/projects/1082519457323/locations/us-central1/dataScans/dq-pigpos-fr-trn-transfer-out-header"",
    ""project_id"": ""cpf-farm-th"",
    ""location"": ""us-central1"",
    ""data_scan_id"": ""dq-pigpos-fr-trn-transfer-out-header"",
    ""display_name"": ""dq-pigpos-fr_trn_transfer_out_header""
  }
}","{
  ""data_source"": {
    ""resource_name"": ""//bigquery.googleapis.com/projects/cpf-farm-th/datasets/PIGPOS/tables/FR_TRN_TRANSFER_OUT_HEADER"",
    ""dataplex_entity_project_id"": null,
    ""dataplex_entity_project_number"": null,
    ""dataplex_lake_id"": null,
    ""dataplex_zone_id"": null,
    ""dataplex_entity_id"": null,
    ""table_project_id"": ""cpf-farm-th"",
    ""table_project_number"": ""1082519457323"",
    ""dataset_id"": ""PIGPOS"",
    ""table_id"": ""FR_TRN_TRANSFER_OUT_HEADER""
  }
}",acf0c609-2417-4d91-b4c1-ac77f9719821,"{""increment_column"":"""",""incremental"":false,""row_filter"":""COALESCE(CANCEL_FLAG, 'N') = 'N'"",""sampling_percent"":100,""trigger"":""on_demand""}","{""content"":""transfer-transaction-header""}",2026-02-24 06:28:22.000000 UTC,2026-02-24 06:28:55.000000 UTC,"{
  ""job_quality_result"": {
    ""passed"": ""true"",
    ""score"": ""100.0"",
    ""incremental_start"": null,
    ""incremental_end"": null
  }
}","{""VALIDITY"":{""passed"":true,""score"":100}}",894681,,,Range check,Per row,GROSS_AMT,VALIDITY,100.0,"{""max_value"":"""",""min_value"":""0"",""strict_max_enabled"":false,""strict_min_enabled"":false}",true,894681,894681,100.0,0,"WITH `acf0c609-2417-4d91-b4c1-ac77f9719821` AS (SELECT * FROM `cpf-farm-th.PIGPOS.FR_TRN_TRANSFER_OUT_HEADER` WHERE (COALESCE(CANCEL_FLAG, 'N') = 'N')) SELECT * FROM `acf0c609-2417-4d91-b4c1-ac77f9719821` WHERE (NOT((`GROSS_AMT` >= 0) IS TRUE));",2026-02-24 06:27:44.000000 UTC,2026-02-24 06:27:44.000000 UTC,,"{
  ""debug_queries"": []
}"
"{
  ""data_quality_scan"": {
    ""resource_name"": ""//dataplex.googleapis.com/projects/1082519457323/locations/us-central1/dataScans/dq-pigpos-fr-trn-transfer-out-header"",
    ""project_id"": ""cpf-farm-th"",
    ""location"": ""us-central1"",
    ""data_scan_id"": ""dq-pigpos-fr-trn-transfer-out-header"",
    ""display_name"": ""dq-pigpos-fr_trn_transfer_out_header""
  }
}","{
  ""data_source"": {
    ""resource_name"": ""//bigquery.googleapis.com/projects/cpf-farm-th/datasets/PIGPOS/tables/FR_TRN_TRANSFER_OUT_HEADER"",
    ""dataplex_entity_project_id"": null,
    ""dataplex_entity_project_number"": null,
    ""dataplex_lake_id"": null,
    ""dataplex_zone_id"": null,
    ""dataplex_entity_id"": null,
    ""table_project_id"": ""cpf-farm-th"",
    ""table_project_number"": ""1082519457323"",
    ""dataset_id"": ""PIGPOS"",
    ""table_id"": ""FR_TRN_TRANSFER_OUT_HEADER""
  }
}",acf0c609-2417-4d91-b4c1-ac77f9719821,"{""increment_column"":"""",""incremental"":false,""row_filter"":""COALESCE(CANCEL_FLAG, 'N') = 'N'"",""sampling_percent"":100,""trigger"":""on_demand""}","{""content"":""transfer-transaction-header""}",2026-02-24 06:28:22.000000 UTC,2026-02-24 06:28:55.000000 UTC,"{
  ""job_quality_result"": {
    ""passed"": ""true"",
    ""score"": ""100.0"",
    ""incremental_start"": null,
    ""incremental_end"": null
  }
}","{""VALIDITY"":{""passed"":true,""score"":100}}",894681,,,Range check,Per row,NET_AMT,VALIDITY,100.0,"{""max_value"":"""",""min_value"":""0"",""strict_max_enabled"":false,""strict_min_enabled"":false}",true,894681,894681,100.0,0,"WITH `acf0c609-2417-4d91-b4c1-ac77f9719821` AS (SELECT * FROM `cpf-farm-th.PIGPOS.FR_TRN_TRANSFER_OUT_HEADER` WHERE (COALESCE(CANCEL_FLAG, 'N') = 'N')) SELECT * FROM `acf0c609-2417-4d91-b4c1-ac77f9719821` WHERE (NOT((`NET_AMT` >= 0) IS TRUE));",2026-02-24 06:27:44.000000 UTC,2026-02-24 06:27:44.000000 UTC,,"{
  ""debug_queries"": []
}"
"{
  ""data_quality_scan"": {
    ""resource_name"": ""//dataplex.googleapis.com/projects/1082519457323/locations/us-central1/dataScans/dq-pigpos-fr-trn-transfer-out-detail"",
    ""project_id"": ""cpf-farm-th"",
    ""location"": ""us-central1"",
    ""data_scan_id"": ""dq-pigpos-fr-trn-transfer-out-detail"",
    ""display_name"": ""dq-pigpos-fr_trn_transfer_out_detail""
  }
}","{
  ""data_source"": {
    ""resource_name"": ""//bigquery.googleapis.com/projects/cpf-farm-th/datasets/PIGPOS/tables/FR_TRN_TRANSFER_OUT_DETAIL"",
    ""dataplex_entity_project_id"": null,
    ""dataplex_entity_project_number"": null,
    ""dataplex_lake_id"": null,
    ""dataplex_zone_id"": null,
    ""dataplex_entity_id"": null,
    ""table_project_id"": ""cpf-farm-th"",
    ""table_project_number"": ""1082519457323"",
    ""dataset_id"": ""PIGPOS"",
    ""table_id"": ""FR_TRN_TRANSFER_OUT_DETAIL""
  }
}",4b3af74f-ae77-421b-9fd1-c0c7f94b7d6c,"{""increment_column"":"""",""incremental"":false,""row_filter"":""COALESCE(CANCEL_FLAG, 'N') = 'N'"",""sampling_percent"":100,""trigger"":""on_demand""}","{""content"":""transfer-out-transaction-deatil""}",2026-02-24 06:31:48.000000 UTC,2026-02-24 06:32:20.000000 UTC,"{
  ""job_quality_result"": {
    ""passed"": ""false"",
    ""score"": ""85.709999"",
    ""incremental_start"": null,
    ""incremental_end"": null
  }
}","{""VALIDITY"":{""passed"":false,""score"":85.71}}",3175121,,,Range check,Per row,AMOUNT,VALIDITY,100.0,"{""max_value"":"""",""min_value"":""0"",""strict_max_enabled"":false,""strict_min_enabled"":false}",true,3175121,3175121,100.0,0,"WITH `4b3af74f-ae77-421b-9fd1-c0c7f94b7d6c` AS (SELECT * FROM `cpf-farm-th.PIGPOS.FR_TRN_TRANSFER_OUT_DETAIL` WHERE (COALESCE(CANCEL_FLAG, 'N') = 'N')) SELECT * FROM `4b3af74f-ae77-421b-9fd1-c0c7f94b7d6c` WHERE (NOT((`AMOUNT` >= 0) IS TRUE));",2026-02-24 06:31:13.000000 UTC,2026-02-24 06:32:06.000000 UTC,,"{
  ""debug_queries"": []
}"
"{
  ""data_quality_scan"": {
    ""resource_name"": ""//dataplex.googleapis.com/projects/1082519457323/locations/us-central1/dataScans/dq-pigpos-fr-trn-transfer-out-detail"",
    ""project_id"": ""cpf-farm-th"",
    ""location"": ""us-central1"",
    ""data_scan_id"": ""dq-pigpos-fr-trn-transfer-out-detail"",
    ""display_name"": ""dq-pigpos-fr_trn_transfer_out_detail""
  }
}","{
  ""data_source"": {
    ""resource_name"": ""//bigquery.googleapis.com/projects/cpf-farm-th/datasets/PIGPOS/tables/FR_TRN_TRANSFER_OUT_DETAIL"",
    ""dataplex_entity_project_id"": null,
    ""dataplex_entity_project_number"": null,
    ""dataplex_lake_id"": null,
    ""dataplex_zone_id"": null,
    ""dataplex_entity_id"": null,
    ""table_project_id"": ""cpf-farm-th"",
    ""table_project_number"": ""1082519457323"",
    ""dataset_id"": ""PIGPOS"",
    ""table_id"": ""FR_TRN_TRANSFER_OUT_DETAIL""
  }
}",4b3af74f-ae77-421b-9fd1-c0c7f94b7d6c,"{""increment_column"":"""",""incremental"":false,""row_filter"":""COALESCE(CANCEL_FLAG, 'N') = 'N'"",""sampling_percent"":100,""trigger"":""on_demand""}","{""content"":""transfer-out-transaction-deatil""}",2026-02-24 06:31:48.000000 UTC,2026-02-24 06:32:20.000000 UTC,"{
  ""job_quality_result"": {
    ""passed"": ""false"",
    ""score"": ""85.709999"",
    ""incremental_start"": null,
    ""incremental_end"": null
  }
}","{""VALIDITY"":{""passed"":false,""score"":85.71}}",3175121,,,Range check,Per row,FEMALE_QTY,VALIDITY,100.0,"{""max_value"":"""",""min_value"":""0"",""strict_max_enabled"":false,""strict_min_enabled"":false}",true,3175121,3175121,100.0,0,"WITH `4b3af74f-ae77-421b-9fd1-c0c7f94b7d6c` AS (SELECT * FROM `cpf-farm-th.PIGPOS.FR_TRN_TRANSFER_OUT_DETAIL` WHERE (COALESCE(CANCEL_FLAG, 'N') = 'N')) SELECT * FROM `4b3af74f-ae77-421b-9fd1-c0c7f94b7d6c` WHERE (NOT((`FEMALE_QTY` >= 0) IS TRUE));",2026-02-24 06:31:13.000000 UTC,2026-02-24 06:32:06.000000 UTC,,"{
  ""debug_queries"": []
}"
"{
  ""data_quality_scan"": {
    ""resource_name"": ""//dataplex.googleapis.com/projects/1082519457323/locations/us-central1/dataScans/dq-pigpos-fr-trn-transfer-out-detail"",
    ""project_id"": ""cpf-farm-th"",
    ""location"": ""us-central1"",
    ""data_scan_id"": ""dq-pigpos-fr-trn-transfer-out-detail"",
    ""display_name"": ""dq-pigpos-fr_trn_transfer_out_detail""
  }
}","{
  ""data_source"": {
    ""resource_name"": ""//bigquery.googleapis.com/projects/cpf-farm-th/datasets/PIGPOS/tables/FR_TRN_TRANSFER_OUT_DETAIL"",
    ""dataplex_entity_project_id"": null,
    ""dataplex_entity_project_number"": null,
    ""dataplex_lake_id"": null,
    ""dataplex_zone_id"": null,
    ""dataplex_entity_id"": null,
    ""table_project_id"": ""cpf-farm-th"",
    ""table_project_number"": ""1082519457323"",
    ""dataset_id"": ""PIGPOS"",
    ""table_id"": ""FR_TRN_TRANSFER_OUT_DETAIL""
  }
}",4b3af74f-ae77-421b-9fd1-c0c7f94b7d6c,"{""increment_column"":"""",""incremental"":false,""row_filter"":""COALESCE(CANCEL_FLAG, 'N') = 'N'"",""sampling_percent"":100,""trigger"":""on_demand""}","{""content"":""transfer-out-transaction-deatil""}",2026-02-24 06:31:48.000000 UTC,2026-02-24 06:32:20.000000 UTC,"{
  ""job_quality_result"": {
    ""passed"": ""false"",
    ""score"": ""85.709999"",
    ""incremental_start"": null,
    ""incremental_end"": null
  }
}","{""VALIDITY"":{""passed"":false,""score"":85.71}}",3175121,,,Range check,Per row,FREIGHT_AMT,VALIDITY,100.0,"{""max_value"":"""",""min_value"":""0"",""strict_max_enabled"":false,""strict_min_enabled"":false}",true,3175121,3175121,100.0,0,"WITH `4b3af74f-ae77-421b-9fd1-c0c7f94b7d6c` AS (SELECT * FROM `cpf-farm-th.PIGPOS.FR_TRN_TRANSFER_OUT_DETAIL` WHERE (COALESCE(CANCEL_FLAG, 'N') = 'N')) SELECT * FROM `4b3af74f-ae77-421b-9fd1-c0c7f94b7d6c` WHERE (NOT((`FREIGHT_AMT` >= 0) IS TRUE));",2026-02-24 06:31:13.000000 UTC,2026-02-24 06:32:06.000000 UTC,,"{
  ""debug_queries"": []
}"
